"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
3676 7.1248836 64.45542 1513.1763 0.13628774 0.32111005 0.0157047117587329
3677 7.113333 82.014244 1414.8781 0.1041374 0.32665541 0.0190901719250694
3678 5.714303 71.358975 1335.2974 0.086253226 0.3411254 0.0295192539813032
3679 5.7670773 78.585589 1392.9689 0.083649876 0.35994778 0.0192035236884273
3680 6.7654063 76.121936 1461.5294 0.092989388 0.33641792 0.0133545092616146
3681 5.3180283 62.797883 1379.6348 0.082309173 0.30813377 0.0201059996922544
3682 3.2356694 71.141905 1470.5259 0.06108631 0.29323498 0.0783392113388661
3683 2.3810094 77.754918 1586.165 0.042649509 0.33500829 0.0974936426862702
3684 2.9136865 73.011217 1381.0389 0.039279564 0.3012049 0.0923226820013257
3723 1.5116499 52.465185 950.51631 0.028981494 0.14493167 0.101903587183576
3724 1.225929 10.152702 484.35224 0.13151082 0.14236758 0.113333475141971
3861 2.3989624 41.121831 769.64094 0.19470246 0.21386962 0.00643299380026841
3862 4.0071218 78.023514 1501.3038 0.091173318 0.33581494 0.0325692745849607
3863 7.2265224 51.975946 1494.9067 0.22626059 0.31158984 0.000250377195056802
3864 6.4789256 26.251371 350.46684 0.34657061 0.4780549 0.000152373032861286
3865 5.1359033 35.897244 657.31652 0.24633496 0.34101506 0.000177592927344766
3866 6.792473 62.076788 1307.5725 0.17822781 0.34677795 0.00113892606983329
3867 7.8759103 73.306872 1477.6863 0.13139363 0.29494788 0.0104460960728603
3868 6.8509145 69.620588 1352.919 0.12472387 0.31277229 0.0188136593824086
3869 7.0965196 72.998018 1372.0185 0.11253303 0.28742845 0.028674335295341
3870 6.8741866 72.913682 1420.5094 0.1009933 0.29158075 0.0317944669178207
3871 6.7759551 88.859746 1246.9496 0.082848618 0.2584258 0.0163167909631368
3872 3.8121201 94.153149 1273.9307 0.045626267 0.22694564 0.00881239084399484
3873 3.3439788 82.784901 1278.6196 0.058430245 0.34807189 0.0371520408346662
3874 2.9392429 73.919215 1465.6966 0.054088496 0.31153727 0.0766749244216523
3875 3.2054591 81.820756 1550.8703 0.041890292 0.3421429 0.141798956762809
3876 3.1182342 67.303035 1323.3753 0.043754818 0.23308707 0.107484780694032
3915 1.6858684 25.032211 1249.0057 0.062061374 0.3393486 0.14101298674611
3916 1.4211298 47.985128 1124.4536 0.027787848 0.31997051 0.127066983275653
4053 2.4386223 44.098038 876.09081 0.17677679 0.15487837 0.00302626128062999
4054 4.1339196 59.627159 1274.2859 0.11499328 0.30976455 0.0354067052001735
4055 7.4483678 56.365926 1529.7753 0.20331356 0.33073875 0.000316555599416728
4056 5.4255235 25.33404 349.63351 0.35961818 0.45974537 0.0002526627312593
4057 5.0927398 22.135848 322.60358 0.36408802 0.44529733 0.000428372885440919
4058 6.3245438 30.109167 385.80759 0.30755025 0.49468544 0.00150541406079438
4059 7.8995294 71.927197 1481.4538 0.1332995 0.27364825 0.0105226089938555
4060 6.9498692 71.02201 1364.42 0.12363553 0.31263967 0.0199950852012729
4061 6.7468808 78.688041 1403.5531 0.10208817 0.29756447 0.0293903213748839
4062 5.0476979 81.782433 1452.8202 0.068957968 0.32784321 0.0199592436303479
4063 3.9047925 55.435374 1370.6161 0.078412649 0.31417865 0.0034138649236401
