"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
1737 12.56259 371.06499 1361.1818 0.078426872 0.26752357 0.266064845064903
1738 11.138133 304.66842 1297.9751 0.080465258 0.29633053 0.215301442138713
1739 11.174602 339.87254 1487.7162 0.071294269 0.31664832 0.479584605614369
1740 10.127085 313.29355 1512.2498 0.060321062 0.32157823 0.388929067463651
1741 9.1704793 330.49838 1478.2609 0.053055429 0.34816781 0.505689353529117
1742 9.031114 308.96882 1521.8083 0.053331478 0.31457803 0.553656632752683
1743 8.1637127 242.53494 1390.8222 0.049366506 0.26902113 0.530532765895927
1744 7.2586672 266.57311 1391.3728 0.055622236 0.28481963 0.664308401600177
1745 6.8190223 241.56771 1289.783 0.057643942 0.27907637 0.738734054425177
1746 6.6295693 241.641 1310.2919 0.054822548 0.28129515 0.749253564575271
1747 6.5247681 259.18953 1518.3675 0.051646474 0.26829005 0.703548147768504
1748 6.3597249 249.54556 1314.6166 0.054447936 0.29067677 0.949816204175881
1749 6.250454 239.91971 1228.45 0.052940716 0.29838398 1.00642946613716
1750 6.0182871 254.10116 1368.3013 0.049431696 0.29417078 0.937563846238321
1751 6.4760234 251.19517 1259.6088 0.056439819 0.2923296 0.704352750832484
1752 6.6759279 244.46446 1271.7408 0.055863701 0.28028989 0.688576739108152
1753 7.3902581 270.24449 1303.044 0.065083148 0.28303214 0.518497014189159
1754 6.2282388 232.87688 1111.7961 0.055081486 0.29614009 0.60302500728708
1755 5.3938869 241.07214 1352.6149 0.054818249 0.28826703 0.619366162372324
1756 5.055225 244.9079 1264.4085 0.059450403 0.30036243 0.367585985089177
1757 4.09605 241.45058 1373.0544 0.051118933 0.31283807 0.347737996954356
1758 3.4656018 162.45198 805.85062 0.05219167 0.31798163 0.388209967841989
1759 2.416581 171.43955 1110.9622 0.028692586 0.3098603 0.322103371564766
1760 2.3083309 142.15782 809.35115 0.029187532 0.32087438 0.328922464584705
1761 2.2027299 180.25497 1171.7256 0.023575669 0.30214754 0.467449756016015
1762 2.1161069 179.63701 1557.6325 0.022591614 0.26180998 0.513661512305326
1763 1.8998098 202.83694 1415.3902 0.0183669 0.29599779 0.606959618949668
1764 2.0785774 213.4542 1356.7068 0.01839376 0.33932293 0.726085689165311
1831 12.93395 408.546 1156.2942 0.089510538 0.24993513 0.166562126388851
1832 13.00263 334.51031 1222.7612 0.085844266 0.28101492 0.266274986640753
1833 12.173689 328.53312 1315.4868 0.08235073 0.27475329 0.244326842433258
1834 10.471673 351.09171 1484.3672 0.071723534 0.33018527 0.123985182557844
1835 11.586036 320.6428 1364.1637 0.079362556 0.3030108 0.479386639546735
1836 10.353615 280.68499 1407.3519 0.066891658 0.28374726 0.392330848973038
1837 9.6015332 286.54471 1427.2635 0.06221191 0.29911658 0.512715394136774
1838 9.2643625 307.71812 1419.7155 0.055338694 0.33043269 0.554253794112771
