"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
3701 7.7329586 433.39895 1157.6892 0.17100376 0.073649803 0.463614573803226
3702 6.7149996 363.84367 1114.0726 0.16645335 0.068148339 0.590392698130244
3703 6.6504492 419.40345 1299.9141 0.12550691 0.069361156 0.552335918511875
3704 7.0512158 427.33752 1157.8254 0.1122899 0.076125001 0.481022840660012
3705 8.5434722 459.74484 1228.8817 0.13776081 0.082624598 0.29732959107152
3706 8.4356927 420.76088 1197.4775 0.14513848 0.079257234 0.244248018460554
3707 6.7615246 426.22665 1189.1524 0.14254881 0.080205801 0.572756006581883
3708 5.992694 406.43924 1081.5004 0.1036791 0.081662721 0.74206930283476
3709 5.5890594 389.38866 1193.1092 0.10037444 0.075319477 0.852025995424538
3710 4.8524764 401.44459 1153.0275 0.087797752 0.081782347 0.864918509801815
3857 18.028672 213.68858 964.70432 0.32653726 0.1042955 0.0338657306336086
3858 12.68986 363.08763 990.91592 0.25520316 0.065985677 0.195678196071924
3859 8.8717069 392.01303 1002.4 0.20768514 0.060141483 0.347323236482065
3860 9.9641775 435.3359 1371.9784 0.19838362 0.055070389 0.266980115388252
3861 7.9551069 427.84445 1199.8939 0.1731983 0.071188579 0.45131731514727
3862 6.8047855 398.28246 1139.747 0.16406439 0.07256254 0.590793261912057
3863 6.6349802 398.3511 1161.9752 0.12920257 0.070510181 0.538663724621906
3864 7.5926054 436.98363 1134.3855 0.12867798 0.08073792 0.441652664132054
3865 9.0346009 466.439 1188.5491 0.16241779 0.073384086 0.246968707461943
3866 8.944542 415.39152 1190.651 0.1758944 0.064678653 0.23786369611806
3867 6.8051005 430.82664 1266.3573 0.13858016 0.078442473 0.584699213053406
3869 5.1128439 440.12987 1163.0761 0.085511253 0.089885859 0.913067879492945
3870 4.7960243 406.52658 1111.6533 0.09000692 0.089502388 1.00651771034399
4017 17.889245 384.48741 1131.379 0.30046758 0.18189875 0.023596953908572
4018 12.506073 421.14414 1162.6999 0.24338025 0.078077689 0.194213827652367
4019 8.9007569 420.61625 1288.773 0.19452628 0.055639198 0.357061735275763
4020 9.9126571 434.72825 1272.7388 0.20304546 0.05721367 0.266865907477339
4021 7.8375989 404.70071 1120.9468 0.17877678 0.069344043 0.453377321772198
4022 6.752872 438.5152 1282.3317 0.15836531 0.075101941 0.595616062383307
4023 6.804352 397.55269 1269.1002 0.12928198 0.065713589 0.52786962385887
4024 8.1537429 482.91331 1268.7378 0.13877173 0.085373077 0.40353750837941
4025 9.0821692 434.77017 1296.6866 0.17334613 0.063429183 0.241898697728925
4026 7.8832702 435.76285 1251.0607 0.15547335 0.069800195 0.297492454150326
4027 7.58467 431.20767 1258.696 0.14093095 0.071550004 0.668981763842831
4029 4.7454313 409.86932 1127.5706 0.08582901 0.085365638 0.87891936341991
4178 12.523345 413.6311 1127.4973 0.24772642 0.074139012 0.186327266635444
4179 8.9328711 405.12912 1149.272 0.20032211 0.057364376 0.355030805244577
4180 9.9192758 422.80353 1243.3042 0.20658276 0.055368558 0.265738265800627
4181 7.7817421 399.8657 1175.462 0.18100437 0.066596729 0.464324243056116
4182 6.7474794 371.21254 1178.3296 0.17541226 0.065940998 0.599177170897128
4183 6.8791496 443.37575 1254.7637 0.1228274 0.073886797 0.516377798360579
4184 8.6429018 417.22247 1146.5623 0.15136808 0.07623214 0.331285131363617
4185 9.2347388 448.619 1204.9506 0.17293192 0.068132688 0.238334207488907
4186 6.9705472 457.44863 1263.5532 0.10851965 0.082118813 0.480407747772159
4187 7.0654187 394.08683 1158.6059 0.13252236 0.07063332 0.827653208363375
4338 12.664962 372.12748 1177.3816 0.25432163 0.062713889 0.177844245791041
4339 9.1791267 401.0705 1071.49 0.20491723 0.059278946 0.332062059443563
4340 9.8096477 435.18817 1245.1407 0.20522641 0.056459415 0.263465102643593
4341 7.7194842 402.8134 1130.7156 0.17850269 0.068340994 0.483960009363412
4342 6.7478062 421.44607 1165.046 0.16136543 0.07396002 0.596373189174295
4343 7.0205177 416.79521 1273.6071 0.13015352 0.068898795 0.509234749010137
4344 9.093518 433.2473 1224.5824 0.17133557 0.065554341 0.278347209031994
4345 9.0516571 425.35883 1184.6509 0.15103811 0.079275152 0.216779769380017
4346 6.9549163 413.95369 1114.3989 0.11478135 0.080116469 0.50249299724038
4347 6.7422759 399.30772 1196.9376 0.12692462 0.071208679 0.863986247999485
4498 12.840937 432.1218 1128.2083 0.24505447 0.079340358 0.184079872358783
4499 9.7052488 411.83587 1197.551 0.20778227 0.055966213 0.293895809684174
4500 10.097781 460.14835 1114.1633 0.20535446 0.064331576 0.258886103820313
4501 7.4463034 425.0449 1226.8168 0.17506077 0.06877473 0.514112681736181
